¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(336.47, 7.35, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012113
(336.47, 7.35, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272811
(336.47, 7.35, 325.83) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.554788
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.539102
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.511042
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.484304
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.458866
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.434705
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.411801
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.39014
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.369701
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.350469
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.332428
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.315566
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.299868
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.285322
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.271917
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.259644
(336.47, 7.35, 325.83) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.248491
