¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ş(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.51393
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.053
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.65216
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32197
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.07551
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92946
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90512
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0142
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.32184
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.863
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.63008
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.70471
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813332
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.118988
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.441503
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.792053
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.174404
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592992
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04866
(367.47, 6.78, 355.86) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53842
