¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ü(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62777
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.78093
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.93985
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1047
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27586
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45359
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63817
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82999
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.02941
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23683
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.45264
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.67735
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9492
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.23638
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.262802
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4702
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692836
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.925086
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.185162
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.467782
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.774752
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615878
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.013737
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.451599
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.93573
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35613
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.81376
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31544
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86781
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32915
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46639
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60862
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76089
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91923
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.08358
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.25416
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43122
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61518
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80635
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.00509
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21174
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.42681
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.65068
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89177
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.17674
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.252984
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.459676
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.681529
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916411
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.172542
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.4541
ì(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75987
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.595906
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.991811
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427404
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.90895
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35202
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80923
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31049
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86234
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3299
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.51618
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.65964
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.80837
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96261
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.12258
(425.07, 9.52, 363.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28855
