¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 18.30103
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.72524
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.70423
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.93709
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.92121
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.90804
(380.67, 14.65, 268.62) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 17.83239
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.058225
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.494456
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.996325
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35274
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7684
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9062
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04927
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31135
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69938
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57707
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.06935
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68857
(380.67, 14.65, 268.62) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.48808
