¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.740206
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.947706
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.167549
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.408765
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.670652
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.953356
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.260004
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.596134
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966169
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.375397
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.830364
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.337629
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.909734
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54784
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26298
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07198
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.00831
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.10447
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.31999
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.85169
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.61893
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.79776
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4772
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.051006
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.200594
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.368838
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.549186
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.742959
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.949704
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.170087
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.411515
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.673642
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.956128
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.263035
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.599461
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969845
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.379467
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.834906
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.341595
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.914698
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55219
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26712
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07674
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.01385
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11099
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32947
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.81375
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.6222
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.82279
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49504
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.05251
¦(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.202899
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.371305
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.551833
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.745806
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.951824
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.172739
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.414389
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.676766
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.95906
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.266241
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.602983
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.97373
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.383772
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.839708
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.346189
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.919992
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.55693
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27174
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08206
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.02004
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11828
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33993
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.82921
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.5009
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.84982
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.51545
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.054112
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.205279
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.373851
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.554564
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.748742
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.954064
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.175503
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.417384
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.68002
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.962147
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269618
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.606696
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.977821
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.388309
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.844767
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.351164
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.925608
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.56207
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.27684
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08793
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.02687
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.12632
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.35137
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.84582
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.51908
Ÿ(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.60794
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.53843
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.055814
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.207731
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.376476
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.55738
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.751771
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.956428
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.17838
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4205
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683408
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.965394
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273166
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.6106
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.982123
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.393079
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.850084
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.356429
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.931551
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5676
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.28242
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09436
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03435
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.13512
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3638
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.86359
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.53881
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.63465
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.56401
(437.32, 15.10, 251.11) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.057613
