¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20674
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78644
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43777
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17474
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01531
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.9828
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10809
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.43303
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99327
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.1469
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.1232
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.10226
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.08406
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.0686
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.05585
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.04581
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.03848
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.03383
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.03189
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.03264
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460328
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.678719
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.913473
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.166451
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.439764
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.735968
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.058009
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.409313
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.794008
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217076
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.68439
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20323
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.78252
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43333
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16973
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.00957
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.97614
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10032
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.42384
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94459
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.18917
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.16541
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.14441
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.12617
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.11066
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.09788
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.08781
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.08046
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.0758
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.07385
(324.02, 7.45, 368.51) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.07459
¥(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.458981
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.677295
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911949
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.164775
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.437995
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734031
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.055882
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.406994
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.791498
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.214276
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.681295
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1998
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.77866
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.429
(324.02, 7.45, 368.51) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16479
