¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¯(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.24561
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.20131
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.16441
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.13964
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.12625
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.98325
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.96624
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 10.95092
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.05106
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.32042
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.02167
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 14.20647
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 13.57281
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.99511
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 12.46637
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.98069
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.53309
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.11933
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.978881
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.186646
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410363
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651994
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.916076
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.205959
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.522377
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.4128
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.822414
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.251037
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.72381
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25351
(327.87, 7.28, 381.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8816
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.40769
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.35901
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.31898
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.28546
(327.87, 7.28, 381.61) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 11.27586
