¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.003747
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.222361
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4585
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.678725
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.931718
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.232575
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.55082
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.864228
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.271304
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.71555
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.172809
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.732946
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.40509
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17874
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30971
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.98864
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15062
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.53139
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.40621
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.40546
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.4073
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.41174
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.41879
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 17.42844
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.09782
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.11301
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.13092
(401.41, 12.35, 331.07) (423.60, 11.69, 306.27) (13.87, 8.42, 10.55) Truck 18.15158
(401.41, 12.35, 331.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.470605
