¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.10849
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.08098
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29959
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.16264
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.900219
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.165901
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.460613
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.778428
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.123489
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.509481
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.93724
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.425314
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.967029
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.58852
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30093
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11874
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.09745
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.328
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.21379
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.902039
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.168632
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.46359
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.78058
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.126593
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.5129
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.942085
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.430721
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.972948
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.59591
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30932
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12851
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.11329
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35546
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.94616
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.903772
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.171243
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.466429
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.782613
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129531
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.516136
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.946688
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.43586
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.978549
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60292
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.31727
(413.69, 12.74, 326.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13778
