¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.819234
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.052496
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.303413
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.578747
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.900063
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.251115
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.611308
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.965211
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.386155
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.806432
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27262
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77865
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.32525
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93751
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.45572
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.10521
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48406
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.01019
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58359
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.20507
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38344
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.29409
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576466
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.811993
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.045858
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.296264
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.569794
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.890296
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240426
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.60921
(425.20, 9.59, 363.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.959673
