¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ä(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.040472
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.019281
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.999131
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 5.991097
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.051712
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.114488
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.179512
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.246874
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.348306
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.561082
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.789663
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.52873
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.5083
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.5171
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.61618
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.1653
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.83093
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.71427
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.65685
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.64916
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.64307
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.7137
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.80742
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.07557
(339.44, 7.21, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.113243
(339.44, 7.21, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.316507
(339.44, 7.21, 369.23) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.534734
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.579197
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.335836
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.181372
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.158671
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.137048
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.116487
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.09697
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.140713
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.205612
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.272844
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.342504
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.414699
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.624429
(339.44, 7.21, 369.23) (347.86, 0.49, 351.69) (6.42, 1.16, 3.77) Tools 6.857658
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.42819
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.40795
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.42696
(339.44, 7.21, 369.23) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 11.52436
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 11.1177
(339.44, 7.21, 369.23) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 10.79766
