¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.934391
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.303807
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.285588
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.268407
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.252249
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.272867
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.303306
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.334992
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.367954
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.402221
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.483088
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.597429
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.716897
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.415763
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.424483
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.447558
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.471544
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.496467
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.522348
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.549211
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.593934
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.695013
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.801372
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.913411
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.268929
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.250823
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.233745
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.235628
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.264755
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.295099
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.326688
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.359549
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.407774
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.518521
(337.94, 7.59, 333.08) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 6.634172
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.380003
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.397282
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.419959
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.443536
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.468038
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.493485
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.519903
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.576244
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.676476
(337.94, 7.59, 333.08) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 4.781929
