¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(338.91, 6.88, 312.53) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 9.597088
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538528
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.757821
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993431
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.247135
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521151
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.817903
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.322485
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738529
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.199788
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.714026
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29075
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93552
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.6288
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.43209
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3203
(338.91, 6.88, 312.53) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.28279
(338.91, 6.88, 312.53) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 9.645811
