¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¶(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.05693
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.03642
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.01777
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.38569
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.78102
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.76415
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.74967
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.73756
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.72781
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.72043
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.71539
(325.85, 7.56, 366.67) (350.66, 1.22, 387.46) (3.81, 2.69, 7.65) Cabin 15.7127
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.952048
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.143509
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.348701
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569088
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806384
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062521
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.339877
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641063
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.969291
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.328283
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.722486
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.157287
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.427983
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.716388
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02456
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.35454
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.80885
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35793
(325.85, 7.56, 366.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95617
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.10398
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.08337
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.06463
(325.85, 7.56, 366.67) (347.00, 0.43, 382.73) (0.61, 0.87, 0.61) Tools 12.39623
