¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817641
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194317
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610298
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.058388
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.555309
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11151
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76567
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51568
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37086
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.3699
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.58276
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.96341
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.66283
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.10263
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.98088
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.94902
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.156486
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.378337
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.616654
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.875698
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.162316
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.475035
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.817527
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.194172
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.610134
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057723
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.55457
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.11284
(337.13, 7.53, 341.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.76742
