¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
´(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52844
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.1409
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83922
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64266
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.283
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87261
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52006
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20915
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62651
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.428941
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.657639
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.904252
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186654
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501172
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.845674
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.224675
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.643494
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.078926
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.581205
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20086
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9079
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72218
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29416
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.85749
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47705
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.16158
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79429
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.435445
(433.23, 15.41, 323.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.664646
