¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ù(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.946622
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.222707
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.645742
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922016
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.217979
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535707
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877634
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.23281
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48761
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.75704
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04236
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.34499
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.66647
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09676
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.87787
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08523
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.803729
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.98347
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.175653
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.381574
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.602722
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.830873
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.080569
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.355428
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.653678
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.969495
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.500292
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.662207
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837196
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.127209
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438406
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.773055
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13388
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42495
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69101
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.9727
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27137
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58853
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92588
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41377
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.52704
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.811113
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.990734
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.183423
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.389905
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.611675
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.844297
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.092999
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.368888
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.668298
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992874
‚(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.527264
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.690275
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.861004
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039914
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343723
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671414
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0244
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36411
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62693
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90512
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19998
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51299
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.84581
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20034
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01246
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.35162
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818832
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.998102
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.191306
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.398357
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.620758
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857967
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.105602
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.382538
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.68313
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.398323
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.555183
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.719345
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.891315
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.071558
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.260658
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572504
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.917994
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29096
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56478
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83958
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.13076
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43974
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.7682
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.09621
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38085
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77462
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.826684
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.005574
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.1993
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.406929
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.629974
(428.11, 10.25, 360.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.870171
