¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.1254
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.49369
(336.44, 7.04, 317.66) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.94307
(336.44, 7.04, 317.66) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.18416
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.31205
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.97653
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.84713
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.83386
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.836
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.9557
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.20875
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183649
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.463542
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767341
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.098182
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.460793
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.865464
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316044
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.505116
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.478202
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.452847
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.52791
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.63049
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.736772
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 10.02775
(336.44, 7.04, 317.66) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.68573
(336.44, 7.04, 317.66) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 12.80542
(336.44, 7.04, 317.66) (344.12, 0.49, 344.89) (3.45, 1.16, 6.51) Tools 13.07851
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.2022
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.90099
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.77753
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.76431
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.76915
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 13.88761
(336.44, 7.04, 317.66) (345.89, 1.57, 345.27) (5.35, 1.16, 5.52) Tools 14.14321
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182821
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.462654
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766353
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.097112
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.458601
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.858955
(336.44, 7.04, 317.66) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.312763
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.341063
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.314553
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.299594
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.39553
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.494897
(336.44, 7.04, 317.66) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 9.603827
