¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.326483
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.439269
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.558793
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.685648
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.820506
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.96412
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.134982
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.66603
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.854821
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053832
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.261956
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.481351
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717695
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97303
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249672
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550367
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.863236
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.192343
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.542102
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.924452
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308453
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.724803
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18569
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67698
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.19236
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.76595
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32381
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04606
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.79018
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.62623
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.21797
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.324893
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.437589
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.557014
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.683762
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.818502
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.961988
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.487854
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.663909
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852524
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.052304
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259476
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478695
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.714862
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.969965
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246338
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.54557
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858059
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.189884
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.539412
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921531
å(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.302154
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.717908
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17417
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65947
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17684
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.74881
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29326
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99866
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73665
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.53846
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.216357
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.323463
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.436077
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.555413
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.682064
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.8167
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.321549
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.486124
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.662031
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.850526
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.051106
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.257345
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.476435
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.712395
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.967321
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243479
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541375
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.853506
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188101
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.537504
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.916835
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.296765
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.71204
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.16773
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64666
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.16274
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73112
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.2716
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95346
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.68561
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.48134
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.214884
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.322192
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.434732
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.553989
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.680555
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.165998
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.320155
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.484607
(393.44, 7.05, 360.37) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.660433
