¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ (398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955208
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.4308
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.961286
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55669
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22955
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.642282
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.615011
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.589322
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.565193
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.542604
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.521542
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.501987
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.483924
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.46734
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.452224
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.165908
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.387714
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.623209
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.873357
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144258
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.438573
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.759355
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.110332
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495879
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.921343
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393111
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.919132
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.50919
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17572
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.542736
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.515817
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.490462
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.46665
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.444364
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.423586
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.404299
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.386489
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.370142
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.355247
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.151753
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.372452
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.605078
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853773
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.123026
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.415434
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.734116
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08268
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.465472
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.887665
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.355703
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877307
¤ (398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46217
(398.50, 14.70, 306.59) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1224
(398.50, 14.70, 306.59) (426.17, 13.86, 303.39) (8.74, 12.77, 16.31) Truck 9.446641
