¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ÿ(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.093512
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.303471
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.520102
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.753135
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.004466
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.276396
(379.29, 14.48, 271.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.571437
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.470953
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.444956
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.420243
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.396794
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.37459
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.353614
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.333847
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.315277
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.297885
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.281662
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.266591
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.252664
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.239869
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.228196
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.217635
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.208179
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.199822
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.192557
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.186378
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.18128
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.17726
(379.29, 14.48, 271.60) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 7.174315
