¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ã(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41915
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.03352
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.71766
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.42997
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.26926
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.1302
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.10703
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93625
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.17082
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60183
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27713
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.836959
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.320017
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.831417
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.32806
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86445
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.44028
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.05247
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.72442
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.44211
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.27517
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.13687
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.11367
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.94491
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18077
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.60273
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.274
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.83653
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.321051
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.855097
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34408
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86677
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46096
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.07299
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73089
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46754
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.28082
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.14324
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12002
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95345
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.19049
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.61398
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27053
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.84631
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.330191
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.859491
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.35965
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.88027
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46564
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.09309
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73705
Ã(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.49256
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.2862
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15156
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.12607
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.96172
(380.40, 15.45, 275.39) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.2
