¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Û(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.808624
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.958393
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.115253
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.238667
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.231632
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.225834
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.19667
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.972112
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.76066
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.367757
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.789262
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24021
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.428265
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.400838
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.52469
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.666901
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.816489
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.97401
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.140073
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.234896
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.209541
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 7.185432
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.204679
(340.06, 7.10, 367.12) (354.81, 0.49, 347.20) (3.26, 1.16, 6.55) Tools 6.18819
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89839
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33573
(340.06, 7.10, 367.12) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.81071
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.421706
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.289183
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.641448
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.012787
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.170897
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.336644
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.51055
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.504112
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.49818
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.493523
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.260033
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 8.033376
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 6.338673
(340.06, 7.10, 367.12) (353.17, 1.64, 346.62) (2.20, 1.16, 6.64) Tools 7.008632
