¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ë(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.02705
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.261748
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.517022
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.797725
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.100783
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.437594
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.803792
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.210473
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.66158
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.16668
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.738774
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.386
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.12416
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8433
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90554
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99807
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.70683
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.68731
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66988
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65453
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64125
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63002
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62085
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61372
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60863
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.93367
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.08636
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.249085
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.423187
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.610098
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.811493
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.028744
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.263581
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518649
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.799575
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.102808
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.439363
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.805745
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.212455
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.663793
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.169143
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.740614
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38704
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93176
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8413
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90317
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99817
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.69613
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67663
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65922
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64389
Ñ(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63062
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61941
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61025
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60313
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59804
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.934905
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.087629
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.250456
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.424655
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.611676
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.813155
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.030548
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.265535
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.520592
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.801569
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10499
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.441306
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.807889
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.214652
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.666243
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.171874
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.742758
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14294
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93045
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83978
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90137
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.07472
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.68749
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66801
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65061
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63529
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62204
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61084
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60169
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59458
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.5895
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.936212
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.088973
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.251907
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.426211
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.613348
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.814919
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.032463
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267611
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.522847
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.803708
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.10733
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443422
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.810226
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.217063
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.668931
ø(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.174874
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.745203
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1422
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92954
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83876
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.90018
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.1535
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.68092
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.66145
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.64406
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62875
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61551
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.60432
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59518
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.58807
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.583
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.937592
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.090393
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.253445
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.427858
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.615118
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.816784
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.034491
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.269807
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.525234
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.805991
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.109829
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.445715
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.812757
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.219687
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.671859
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.17814
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45341
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1418
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92909
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83822
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89956
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15471
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67639
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65693
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63955
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.62425
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.61102
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59983
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.59069
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.58359
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.57853
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.939046
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.091887
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.255064
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.429594
Ü(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.616983
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.818751
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.036632
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272126
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.527753
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.808417
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.112486
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44818
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.815478
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.222526
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.675026
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.846564
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.45344
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.14179
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92913
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83821
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89954
(328.91, 7.66, 368.75) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15471
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.67392
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.65446
(328.91, 7.66, 368.75) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 13.63709
