¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.725255
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.10481
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.524927
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.978702
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.48038
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0548
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46709
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25136
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.15295
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20002
(419.44, 14.86, 246.28) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 15.04719
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.79074
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51713
(419.44, 14.86, 246.28) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.83313
(419.44, 14.86, 246.28) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 21.01945
(419.44, 14.86, 246.28) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 14.82725
(419.44, 14.86, 246.28) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 14.76374
(419.44, 14.86, 246.28) (388.38, 7.52, 247.74) (1.18, 1.64, 1.16) Tools 14.7545
(419.44, 14.86, 246.28) (381.77, 7.96, 248.77) (1.40, 2.06, 3.21) Tools 20.94048
