¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‡(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25476
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41164
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57653
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.74776
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.92568
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.11063
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.28479
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.3683
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4549
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.54463
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.63766
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73165
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82866
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92915
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.03318
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.606228
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834796
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.080814
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.346397
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.633831
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883449
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153803
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444644
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758391
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.099083
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.523373
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.977788
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.47515
(365.30, 9.97, 329.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27198
