¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.744356
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.932012
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.130766
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.344279
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574203
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819528
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.081294
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.325823
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581935
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.880529
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217767
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.558226
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.874736
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.198604
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.532857
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.235476
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.392964
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.561075
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.740899
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.928819
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.127356
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.340576
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570231
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.813956
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075235
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.322292
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.578155
(407.05, 13.16, 329.58) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861084
