¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8249
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.99598
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.37334
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91331
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.58622
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.29177
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.734928
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.892467
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.061633
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.243725
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.440429
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.088426
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320235
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.569125
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851559
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16063
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500046
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.874441
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278425
(417.04, 13.49, 324.25) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.715649
