¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ù(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.19527
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.197861
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.201379
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.205829
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.275396
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.514126
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.772789
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.054013
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.36983
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.717137
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.677146
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.133115
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.641169
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.660049
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.644803
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.647413
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.652238
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.658064
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.664898
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.672741
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.681602
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.691487
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.702403
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.244766
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.239936
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.236042
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.233084
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.231058
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.229964
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.229799
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.230564
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.23226
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.234887
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.238449
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.242946
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.272922
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.511448
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.769882
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.050773
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.365248
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.260181
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.671038
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.12631
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633547
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.700621
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.685308
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.687591
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.69258
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.698576
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.705585
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.713613
à(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.722663
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.732746
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.743865
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.283037
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.2782
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.274306
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.271352
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.269336
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.268256
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.268113
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.268906
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.270634
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.2733
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.276906
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.281454
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270376
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508694
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.766891
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.047517
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.360537
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.254498
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.66473
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.119259
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.62572
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.742692
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.727307
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.72921
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.73437
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.740544
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.747738
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.755957
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.765206
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.775494
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.328522
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.322724
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.31788
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.313984
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.311035
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.30903
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.307968
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.307847
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.308667
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.31043
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.313137
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.316788
(437.90, 13.96, 295.63) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 6.321389
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.267759
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.505861
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763818
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.044169
(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87711
ö(437.90, 13.96, 295.63) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.248619
