¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
 (437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.633124
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27438
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93179
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71601
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62484
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53512
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.64679
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.32171
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.50937
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.48754
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427212
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.635114
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.835905
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050354
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.279773
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.525852
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793706
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.148315
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.544861
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077546
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.655995
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30043
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97723
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.79227
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69339
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61414
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.75153
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33465
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.71492
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.7349
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429146
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.641367
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.842566
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.057465
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287395
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.533976
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813898
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.170475
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.566407
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101982
(437.98, 13.93, 294.30) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.67866
