¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.27458
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.34594
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472926
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.746932
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.296935
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.600023
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930634
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.300123
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.714414
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.173716
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.685627
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24925
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86607
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56367
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.35898
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.27386
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33737
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58865
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.17638
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.05518
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.32121
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.4066
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.330634
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.571788
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.833099
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.117161
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.427018
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.766299
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.157758
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.609075
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.114689
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.684936
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31777
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.9984
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.77706
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.65896
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66429
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83088
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.19614
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.85473
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.01749
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.8278
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.334729
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.576219
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.837911
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.122401
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432748
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.772587
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.150269
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.579343
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057528
ì(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.593683
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.19595
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.85211
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.60038
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.46149
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.46286
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.64751
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08198
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.88858
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.05837
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.89242
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.338752
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.580574
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842638
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127552
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.438379
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.778767
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.15731
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.587173
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066281
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.603536
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20666
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86428
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61433
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.47762
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.48173
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.6702
(337.86, 7.02, 315.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.10938
