¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ (337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.527063
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.885755
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.297985
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.768794
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.321451
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.990945
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.84285
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 11.98462
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 13.39976
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 15.19641
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.06753
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.598049
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.886115
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.199643
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.525999
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.886365
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.303515
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.780246
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 9.338172
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.01241
(337.10, 7.05, 311.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 10.8676
