¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.953781
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.938189
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.924123
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.911576
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.900535
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.890993
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.882944
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.876381
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06336
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.0563
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05224
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.05117
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04252
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.04744
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.010791
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267865
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545676
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84679
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.174209
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.531454
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922764
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367312
(378.48, 15.75, 296.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.877502
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.13588
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.10753
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.08083
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.05578
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.03234
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 10.01051
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.990254
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.971569
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.954435
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.938841
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.924776
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.912226
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.901185
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.891644
(378.48, 15.75, 296.68) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 9.883595
