¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
É(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79445
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.30785
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86635
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.47607
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.102355
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.308217
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522785
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746189
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.986534
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23571
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.491523
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767266
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.065361
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.388531
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.740042
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.115562
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.446989
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.798673
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15275
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53504
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94889
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39839
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.86254
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27135
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7344
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.24282
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7957
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39902
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.92173
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.105707
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.311807
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52209
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.745469
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985744
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.241535
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.49777
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.774018
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.072638
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.396437
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.748661
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.101223
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.431591
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.788338
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14618
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.52792
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.73217
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.66383
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.59792
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.5344
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.47317
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.41419
š (436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.35743
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.50199
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.42161
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.39129
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.36269
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.33578
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.31055
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.28697
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.26502
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.109138
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.313369
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521479
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.744783
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.985027
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244133
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.504195
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.780929
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.08016
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.404575
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.65192
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.596039
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.542138
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.490177
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.440084
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.391843
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.469421
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.695015
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 8.934328
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.188596
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.459215
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.747755
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.056
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.49241
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.3759
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.34581
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.954535
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.29075
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.26573
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 9.806229
(436.23, 13.90, 288.05) (431.19, 10.10, 264.14) (9.30, 6.12, 9.84) Truck 10.22061
(436.23, 13.90, 288.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.112547
