¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
®(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.05691
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.03835
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.02265
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.00982
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.99983
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 18.99269
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.857243
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.044619
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.245353
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.460885
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.6928
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.943122
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.214021
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.508063
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.828297
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.178349
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.562515
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.98595
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.454747
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.958621
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53287
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18297
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.90598
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.64663
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4672
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.27135
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.58664
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35511
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.06487
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.26768
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.24303
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.2213
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.20249
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.18657
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.17354
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.16339
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.15611
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.861203
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.048855
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249904
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.465749
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.698091
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.948851
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220173
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514757
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.835601
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.186348
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571316
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.995672
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465717
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.97473
µ(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55432
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.20718
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.94212
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.6875
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46013
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22069
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50222
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42918
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.11621
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.43844
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.41348
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.39147
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.3724
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.35626
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.34302
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.33269
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.32525
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.865254
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.053187
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254524
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.470733
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703433
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954643
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.226447
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521577
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.84305
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194479
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.580266
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.005558
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.476685
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.994097
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57606
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.23176
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.97601
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.7291
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.45394
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.21379
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41918
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.58402
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.16674
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.61522
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.58994
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.56763
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.5483
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.53192
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.51847
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.50795
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.50035
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.869358
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.057585
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.259251
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475792
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708902
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.960521
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.232864
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528521
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.850583
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.20277
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.589387
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.015638
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.487885
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01375
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59811
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.25668
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00443
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76828
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44863
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2078
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.33751
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.75422
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.21831
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.79823
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.77262
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.75001
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.7304
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.71376
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.70009
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.68938
(326.06, 7.58, 368.38) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 19.68162
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.873511
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.06204
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.264028
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.480956
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.714432
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966491
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.239328
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535573
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85832
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.211207
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.598623
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.025858
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.489325
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889963
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56269
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28197
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.03325
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.76426
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.44413
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.20282
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.25718
(326.06, 7.58, 368.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.92746
