¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.034024
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.361451
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.718079
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.107862
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.535625
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.25211
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.42297
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.428545
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.601314
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.80531
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.025708
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189227
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352143
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.52487
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.708286
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903382
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.111213
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.333104
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.570453
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.824883
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.206848
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.572521
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.948271
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359899
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.812795
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.30311
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.51254
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.452645
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.645145
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.852651
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.065894
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.221473
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.386234
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.560997
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746615
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.944104
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.154545
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.379355
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.619905
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.978467
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.356483
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.77351
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.191527
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.626932
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.42925
(416.03, 15.06, 311.07) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.35263
