¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
œ(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.59803
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.833869
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11669
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58469
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08036
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0068
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37835
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73534
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.11411
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.46908
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.530415
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.654227
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.786463
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.925982
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.074658
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.614157
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797719
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.994587
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.199745
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.418144
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.653569
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.907953
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183709
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.479069
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.79041
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13005
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.497105
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771837
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.879477
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.067025
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274392
(430.68, 10.93, 356.42) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.492898
