¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ª(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.52809
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34866
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34068
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.3892
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.5968
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.01287
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78362
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81857
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.28711
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.94742
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.903735
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.183515
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482594
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811492
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175224
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575819
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.019117
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.5474
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13132
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.79308
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54055
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.363
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34694
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.39654
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.60415
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00829
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.77806
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.81095
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.27682
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.75038
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.910436
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.190774
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492967
(424.22, 14.93, 246.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.823365
