¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
³(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.961508
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.267452
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.60271
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.979794
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.405769
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.885689
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.420465
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03069
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74291
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.601
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60201
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74776
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12978
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.79325
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12757
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.43681
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.99969
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.200355
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.436364
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.692489
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966539
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.272957
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.608299
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.986065
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.411978
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.892359
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.426499
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03637
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74489
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.5998
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59835
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74537
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.12053
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.78381
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.12255
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40755
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.05444
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.79929
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.204279
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.440977
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.697496
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971472
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.278354
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.613703
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.992146
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.418041
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.89877
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.432245
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.0417
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.74629
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.59795
Â(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.593
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.74235
(417.67, 14.70, 245.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.11495
