¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.511034
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.812
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.143184
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.504259
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.896343
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.338655
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.834198
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39827
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03107
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.74341
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57316
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.52269
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.68406
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.08839
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.89557
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.27203
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.9317
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.090729
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.290661
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.498446
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.720165
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.957016
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.212288
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.488161
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.787177
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.115459
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.474423
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.863603
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.299785
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.790991
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34773
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.97465
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.67936
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.49612
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.43585
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57924
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.95268
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.71128
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.46781
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.6045
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.075185
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.274009
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.481393
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.701987
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.937626
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.191374
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.465542
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.762635
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.088047
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.444834
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.831264
°(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.261374
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.748315
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.29782
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91898
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.6162
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42018
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.35039
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.47614
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.8194
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.53069
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.24664
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.28605
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.059767
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.257493
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.464514
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683866
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.918446
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.170691
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443177
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.738378
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.060948
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.415204
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.799327
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.223424
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.706172
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24854
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86406
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.55393
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34534
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.27359
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37199
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.6885
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68228
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.03021
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.97601
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.044475
(419.49, 13.73, 325.56) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.241118
