¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ğ(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.886783
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.222155
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.077412
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.483739
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.929634
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42119
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.96571
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.57207
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.25131
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01736
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.88782
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88538
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03993
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38774
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.92851
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.45167
(318.66, 6.88, 368.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.28875
