¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.262499
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.737847
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.25225
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.8232
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46962
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19775
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.02572
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.97695
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.08575
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.34135
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.82914
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.61137
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.69774
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.2642
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.188503
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.356698
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.537014
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.730644
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.936554
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158767
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.395452
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.638974
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.897442
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.154212
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.432196
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.734394
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.062224
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.420543
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.812191
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.228533
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.700203
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21175
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.7776
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.41859
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.13902
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95797
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.89803
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99374
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.2372
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.70805
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.46758
(426.40, 9.61, 361.31) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53029
