¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.234955
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.642321
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.275593
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.267641
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.580021
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.166011
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.298058
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.294451
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.514063
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.500538
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.488181
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.476976
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.466917
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.457999
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.450211
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.443549
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 6.049829
(337.06, 7.09, 320.00) (331.43, 1.25, 338.11) (1.66, 2.50, 1.66) Crane 7.27058
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.430277
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.428078
(337.06, 7.09, 320.00) (331.43, 3.75, 338.11) (1.66, 2.50, 1.66) Crane 7.426989
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.54176
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.755255
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.97857
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.218269
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476175
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747906
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.036611
(337.06, 7.09, 320.00) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.348942
