¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.758955
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.766659
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.776985
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.79041
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.807701
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.830246
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.86101
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.909269
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.87064
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.862406
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.854521
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.846975
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.839765
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.832882
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.826324
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.820083
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.814153
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.808531
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.803213
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.798193
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.793468
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.789034
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.784889
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.781027
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.777897
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.776993
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.778408
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.782201
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.788524
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.79766
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.810105
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.826691
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.849024
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.880804
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.937255
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.90842
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.900029
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.891993
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.884306
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.876957
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.869945
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.863262
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.856903
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.850863
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.845137
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.839718
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.834605
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.829793
(336.12, 7.49, 351.25) (331.59, 1.44, 369.00) (0.81, 2.16, 0.81) Human 1.825277
