¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ç(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.482672
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907228
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.37616
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.898666
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50017
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17778
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.94005
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.80134
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82098
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01872
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.45149
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.18269
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.0765
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.05374
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.03372
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.01643
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 18.00186
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.99001
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.98084
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.97437
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.97058
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.96947
(332.67, 7.38, 363.24) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 17.97105
(332.67, 7.38, 363.24) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.231519
