¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
”(397.46, 12.16, 328.64) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.09928
(397.46, 12.16, 328.64) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.15411
(397.46, 12.16, 328.64) (418.63, 7.96, 306.93) (1.43, 0.85, 0.93) Fence 23.21268
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.744315
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.922417
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.119847
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.31497
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.521603
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743257
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.996257
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237645
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497442
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.769574
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.036214
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.728361
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.045098
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.392418
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774035
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18666
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63729
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.03031
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14892
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.91158
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93362
(397.46, 12.16, 328.64) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.37159
