¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.791512
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.268546
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.81978
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.44635
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16108
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.98301
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.94236
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.07164
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33361
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74797
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.31447
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.11654
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.29277
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.48279
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.4128
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.675523
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.969288
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.269805
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.598949
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.961797
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.360598
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.793441
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.272956
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.825265
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45164
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.16823
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.99072
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95064
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0767
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3361
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74515
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.27362
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.11246
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.30982
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.59552
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.415451
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.679631
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.971186
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27188
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.601323
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.96436
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.363256
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.795217
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.277142
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.830481
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45664
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.17502
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.998
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.95844
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08129
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33818
ï(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74219
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.27009
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.10818
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.32686
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.70988
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.417997
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.683556
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.972956
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.273813
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603539
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.966596
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.365731
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.796839
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.281106
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.835423
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46136
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18144
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.00485
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.96574
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.08542
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.33985
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73908
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.26638
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.10368
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34222
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.83748
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.420441
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.687295
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.974598
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.275608
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.605598
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.968664
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.368018
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.798305
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.284843
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.840095
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46579
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18719
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01126
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97253
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0891
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34111
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73584
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.26251
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09899
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34717
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.98501
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.422779
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690846
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.976112
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.27726
ì(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.607497
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.970561
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.370119
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.799618
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.288353
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.844491
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.46993
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.19137
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.01726
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.97881
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.0923
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.34196
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73245
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.25847
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.09408
(334.76, 7.42, 352.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.34205
