¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.382935
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.61584
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.867436
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.140016
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.436291
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.770935
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.134445
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.523822
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.953756
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.438941
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02476
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6898
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46237
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.40008
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5071
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83358
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.57363
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.6539
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.26476
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.05771
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.963093
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.164037
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380002
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.612638
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.863988
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.136283
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.432236
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.766449
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.133069
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.522272
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.952049
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.437181
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.02279
(343.23, 6.90, 310.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68756
