¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44648
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797745
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17114
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588963
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.047346
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.557879
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.1311
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.77916
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.51765
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.36677
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.33994
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.49427
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.81206
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.336
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.31547
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.54888
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.338826
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.510607
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.694688
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.892375
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.105218
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.335038
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.583858
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.854049
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.143113
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.455799
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.8079
(439.14, 14.94, 252.44) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.182323
