¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.658521
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.31343
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.06294
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96283
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24701
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.82259
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.02513
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.83869
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.79366
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.75193
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.71344
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.67818
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.64611
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.61722
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.59148
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.600782
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.857641
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.141035
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.464752
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.820436
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.195779
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.644567
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.146794
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.723084
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.38515
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14574
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.09165
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.43778
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03788
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.34189
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.02927
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.9838
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.94164
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.90276
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.86715
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.83475
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.80556
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 20.77954
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.622928
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.881582
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.170615
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497213
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.854995
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.236666
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.690228
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.198107
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.786138
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.45733
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22917
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22194
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.61812
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.31843
(383.94, 13.63, 309.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76178
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.22657
(383.94, 13.63, 309.67) (388.37, 9.01, 276.49) (2.27, 2.07, 3.42) Tools 21.18063
