¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ô(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.29959
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.129611
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347996
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.586512
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.84552
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.12133
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.420642
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.747424
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.105578
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047668
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.499681
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00079
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55936
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.18578
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89313
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.69801
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.58694
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.60847
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.76102
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03043
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.38446
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.35018
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.29459
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.73119
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.7039
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.68019
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.66006
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.64349
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.63047
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.62099
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.61503
(332.34, 7.49, 364.76) (345.14, 1.59, 396.38) (12.16, 3.00, 1.46) Fence 23.6126
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134034
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.352762
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.589357
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.848608
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127162
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.426998
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.754378
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.113217
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.055199
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.507992
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01006
(332.34, 7.49, 364.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56972
