¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Š(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.85363
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.927036
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134876
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.358804
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.596418
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.851645
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128524
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.42988
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759048
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.128407
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.540671
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.999138
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.511121
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07978
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72729
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46554
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33322
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31398
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.47174
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92341
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72645
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.98198
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83127
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926836
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.13466
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.35857
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.595806
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.850983
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.127804
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.429095
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.75819
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.129059
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.541515
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.000078
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.512175
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.07972
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.72723
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.46547
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.34241
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.32471
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.46888
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92039
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.71272
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.97744
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.80873
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.926628
(336.82, 7.54, 344.06) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.134436
