¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
û(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.786586
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.115917
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.473206
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.86482
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297943
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780294
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.823744
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.795154
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.768183
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.74281
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.719017
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.696782
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.67609
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.656926
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.639272
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.623116
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.608445
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.59525
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.583521
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.573246
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.56442
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.557035
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.551085
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.546568
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.543478
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.541815
(442.30, 14.45, 259.80) (446.33, 8.08, 286.38) (7.63, 2.69, 2.47) Cabin 9.541575
(442.30, 14.45, 259.80) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.68971
