¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
» (407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.981957
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.928809
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.877483
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.827922
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.780075
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.733894
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.689327
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.646334
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.604868
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.564891
(407.95, 7.41, 367.43) (384.68, 2.04, 354.46) (8.16, 2.90, 6.63) Truck 6.526363
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.603747
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.782645
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.974262
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.17997
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.401336
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.640179
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.898607
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.179078
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.484485
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 7.818251
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.184454
(407.95, 7.41, 367.43) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 8.587993
