¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
í(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896698
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.421327
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.923664
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43332
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.11167
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9354
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.908
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.36247
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.085855
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.384543
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.71072
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053224
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.412895
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.853375
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.372561
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.86198
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36496
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.01526
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.82392
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.77734
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.28118
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.92023
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066565
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.363518
(370.51, 9.12, 337.70) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.687677
