¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Æ(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773185
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.056608
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.569245
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163517
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.502028
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.765676
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.047597
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.585464
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.747933
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.723709
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.701051
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.679939
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.660358
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.642293
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.625729
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.610653
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.597056
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.584925
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.574252
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.565028
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.557248
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.550905
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.545995
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.542512
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.540455
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.492613
(335.89, 6.93, 314.97) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 18.65681
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.106668
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249592
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.413522
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594535
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.787163
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089727
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.607492
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.208215
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.495055
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.758234
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.039687
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531149
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.772143
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.74786
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.725143
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.703978
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.684347
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.666235
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.64963
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.634514
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.620881
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.608719
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.598019
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.588771
»(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.58097
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.57461
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.569685
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.566193
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.564131
(335.89, 6.93, 314.97) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.516168
(335.89, 6.93, 314.97) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 18.75568
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.100527
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254947
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.426132
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.607934
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.808752
(335.89, 6.93, 314.97) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.122513
