¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ô(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.378176
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.078018
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.92028
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.891954
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.864881
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.839036
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.8144
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.790949
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.384931
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90994
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54986
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27143
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97412
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.69491
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.50319
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96207
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.48968
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.12806
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.61237
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.93203
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.26683
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.79495
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4984
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.3744
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.98591
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.82155
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.124816
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.338309
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.56595
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.811571
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.077386
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365942
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.968382
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.827186
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.799324
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.772694
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.747276
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.723048
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.725062
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 7.292954
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89111
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51869
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.23619
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94423
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66189
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46604
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.929
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.50532
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.14504
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.6049
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.92428
×(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.356
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.0037
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76826
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.50603
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.97796
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.87093
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.118584
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.329467
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.556369
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.801246
(377.96, 14.83, 275.01) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.066193
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.949924
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.863298
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.737576
(377.96, 14.83, 275.01) (392.04, 7.25, 262.39) (2.89, 0.64, 3.37) Tools 6.710157
