°# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
‘(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.513114
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.872519
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.269331
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.80194
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.91877
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.040164
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.166321
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.297385
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.433722
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.774506
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.32168
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.705
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90324
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.08591
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.27325
(331.27, 7.39, 369.65) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46874
