¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
·(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.471945
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.704766
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956068
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.242538
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.556185
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.899432
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.276673
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693066
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.081295
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.304654
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.422555
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.544928
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.671992
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.803942
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.941083
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0836
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.20547
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.29669
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39115
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.48891
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59014
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69498
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8035
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.91592
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03236
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15298
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.278
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41233
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.47066
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.703364
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.956141
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.243878
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.557644
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901064
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.278429
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.695032
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.089194
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.260019
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.376644
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.497702
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.623362
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753861
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889469
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.03041
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17698
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27062
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.36453
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46175
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.56243
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66666
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7746
·(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88639
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.00217
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.12213
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.24641
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4565
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.469328
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701961
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.957285
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.245142
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.559021
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.902544
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.280058
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.696848
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.097428
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.216769
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.332175
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.451944
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.576281
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.705393
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839523
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.978926
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12387
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.24601
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.33943
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43614
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53629
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63997
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.74734
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85852
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97369
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.093
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.21663
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.50264
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.89065
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467955
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700488
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.958364
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.246317
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.56029
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.903938
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.28161
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.698574
(442.08, 14.20, 274.05) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.064772
