¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ƒ(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249643
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.467299
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701715
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.954828
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.220627
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.501151
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.805545
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137029
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.499176
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.896453
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.237879
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.52865
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.839813
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.17356
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.53237
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95786
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.60715
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5561
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.04902
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80641
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.9938
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.76103
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.51968
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.685523
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.862574
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.05195
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.254887
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.472946
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.707764
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.961368
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.23314
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.514725
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.820307
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.153088
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.516765
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915779
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.258216
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572815
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.887053
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.22414
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.58668
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.03093
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64643
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60218
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.88112
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85476
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.05412
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.83837
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.52379
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.689918
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.867252
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.056952
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.260241
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.478712
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.714
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.968108
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2433
(363.79, 7.05, 351.89) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.528578
