¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
š (420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.158653
(420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.155173
(420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.152467
(420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.150531
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.459084
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.459756
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.461095
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.463101
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.465775
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.469121
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.473138
(420.23, 14.04, 323.82) (413.20, 9.73, 303.94) (3.22, 0.70, 3.34) Tools 4.477833
(420.23, 14.04, 323.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.13035
(420.23, 14.04, 323.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.13064
(420.23, 14.04, 323.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14391
(420.23, 14.04, 323.82) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.16006
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.646706
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.658091
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.673599
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.699958
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.727254
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.755522
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.784803
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.815137
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.846569
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.897147
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 2.962495
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.031322
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.103898
(420.23, 14.04, 323.82) (412.94, 8.53, 306.06) (2.93, 2.53, 2.83) Tools 3.305196
(420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.324754
(420.23, 14.04, 323.82) (414.00, 8.57, 303.95) (3.14, 2.68, 3.13) Tools 5.320581
