¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¡ (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.306961
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.304862
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.303258
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.302149
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.301533
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.301411
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.301781
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.302644
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.304001
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.305853
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.308201
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.311046
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.314392
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.318241
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.322594
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.327457
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.332832
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.52824
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.518403
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.509142
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.500451
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.492323
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.484752
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.477731
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.471256
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.465321
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.459922
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.273435
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.269323
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.265709
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.262589
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.259961
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.257823
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.256174
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.255013
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.254338
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.254148
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.254444
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.255226
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.256495
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.258251
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.260496
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.263232
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.26646
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.270183
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.274404
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.279126
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.284352
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.480314
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.470536
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.461328
  (437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.452682
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.444592
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.437053
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.430058
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.423599
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.417675
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.41228
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.228294
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.224173
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.220543
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.217401
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.214744
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.212571
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.21088
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.209669
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.208938
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.208685
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.208913
(437.28, 14.08, 299.67) (437.56, 9.13, 322.03) (3.52, 3.07, 8.33) Truck 3.209619
