¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ú(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.641617
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.897501
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.203311
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.307058
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.288751
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.271483
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.255241
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.240014
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.253988
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14348
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86438
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.67843
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.63593
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.87191
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.07272
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.48602
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.17292
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.50364
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660428
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.925809
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.285603
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.266329
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.248102
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.230907
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.214734
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.199566
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.285276
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22172
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95245
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.7783
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.73751
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.01016
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.23456
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.67641
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.40324
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.82223
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679426
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.95425
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.246216
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.227026
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.208876
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.191754
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.175644
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.160535
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.316796
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.3007
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04147
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87936
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.79169
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.15059
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.39771
ú(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.87152
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.63945
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.14872
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.698524
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982384
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.208221
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.18911
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.171036
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.153982
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.137936
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.122885
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.348546
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38049
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.13146
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.98813
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.84849
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.29276
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.56502
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07111
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.88056
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.48334
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.719592
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.008131
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.171577
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.152545
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.134544
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.117557
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.101573
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.086577
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.78431
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.46109
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.22244
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.1048
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90809
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.43756
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.73544
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.27407
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.12685
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.82521
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.743497
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.156249
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.136253
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.117298
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.099366
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.082445
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.06652
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.089447
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.85686
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.54248
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.31437
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.22292
ø(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.97045
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.58462
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.9088
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.48085
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.3792
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.15517
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.767189
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.122133
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.102217
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.083333
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.06547
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.048612
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.032745
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.118577
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.93005
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.62469
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41156
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.34248
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.03558
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.73398
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08472
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.69351
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.63584
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.49322
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790277
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.089274
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.069434
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.050623
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.032827
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.016028
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.000218
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.147887
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.00389
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.70781
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.5146
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.46354
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.10356
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.88566
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.26499
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.91097
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.09125
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.83002
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.813292
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.057645
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.037879
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.019136
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.001403
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.984665
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.968908
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 6.177372
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.07838
¨ (416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.79966
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.61883
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58606
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.17625
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.04021
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.44995
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.12966
(416.40, 13.23, 329.50) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.38853
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.513091
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.494194
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.476241
(416.40, 13.23, 329.50) (426.17, 12.61, 303.83) (8.74, 10.26, 15.43) Truck 5.459217
