¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ö(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.99951
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.89174
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.98154
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.5486
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.139349
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.296457
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.462208
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.637187
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.825567
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.027905
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.245769
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.480974
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734764
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.010509
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.811675
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.161248
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.556482
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.003609
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.501521
(434.94, 15.16, 248.93) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04468
